healthDa
LTLAC,GHCG,generalHealth,Observation
E06000020,4,Bad health,5
E06000020,5,Very bad health,1.5
E06000021,-8,Does not apply,0
E06000021,1,Very good health,40.2
E06000021,2,Good health,35.9
E06000021,3,Fair health,15.9
E06000021,4,Bad health,6.1
E06000021,5,Very bad health,1.9
E06000022,-8,Does not apply,0
E06000022,1,Very good health,51.4
E06000022,2,Good health,33.1
E06000022,3,Fair health,11.3
E06000022,4,Bad health,3.2
E06000022,5,Very bad health,0.9
E06000023,-8,Does not apply,0
E06000023,1,Very good health,46.7
E06000023,2,Good health,33.5
E06000023,3,Fair health,13.6
E06000023,4,Bad health,4.8
E06000023,5,Very bad health,1.5
E06000024,-8,Does not apply,0
E06000024,1,Very good health,49.4
E06000024,2,Good health,33.6
E06000024,3,Fair health,12.3
E06000024,4,Bad health,3.8
E06000024,5,Very bad health,1.1
E06000025,-8,Does not apply,0
E06000025,1,Very good health,48.9
E06000025,2,Good health,34.6
E06000025,3,Fair health,12.1
E06000025,4,Bad health,3.3
E06000025,5,Very bad health,0.9
E06000026,-8,Does not apply,0
E06000026,1,Very good health,44.8
E06000026,2,Good health,34.1
E06000026,3,Fair health,14.4
E06000026,4,Bad health,5.1
E06000026,5,Very bad health,1.5
E06000027,-8,Does not apply,0
E06000027,1,Very good health,45.4
E06000027,2,Good health,33.7
E06000027,3,Fair health,14.4
E06000027,4,Bad health,5
E06000027,5,Very bad health,1.4
E06000030,-8,Does not apply,0
E06000030,1,Very good health,46.2
E06000030,2,Good health,35.7
E06000030,3,Fair health,13.2
E06000030,4,Bad health,3.8
E06000030,5,Very bad health,1
E06000031,-8,Does not apply,0
E06000031,1,Very good health,42.3
E06000031,2,Good health,37
E06000031,3,Fair health,14.8
E06000031,4,Bad health,4.7
E06000031,5,Very bad health,1.3
E06000032,-8,Does not apply,0
E06000032,1,Very good health,43.1
E06000032,2,Good health,36
E06000032,3,Fair health,14.8
E06000032,4,Bad health,4.7
E06000032,5,Very bad health,1.5
E06000033,-8,Does not apply,0
E06000033,1,Very good health,46.2
E06000033,2,Good health,34.8
E06000033,3,Fair health,13.4
E06000033,4,Bad health,4.3
E06000033,5,Very bad health,1.3
E06000034,-8,Does not apply,0
E06000034,1,Very good health,46.4
E06000034,2,Good health,34.7
E06000034,3,Fair health,13.6
E06000034,4,Bad health,4.1
E06000034,5,Very bad health,1.2
E06000035,-8,Does not apply,0
E06000035,1,Very good health,45.2
E06000035,2,Good health,35.4
E06000035,3,Fair health,13.9
E06000035,4,Bad health,4.4
E06000035,5,Very bad health,1.2
E06000036,-8,Does not apply,0
E06000036,1,Very good health,50.6
E06000036,2,Good health,34.8
E06000036,3,Fair health,10.9
E06000036,4,Bad health,2.9
E06000036,5,Very bad health,0.8
E06000037,-8,Does not apply,0
E06000037,1,Very good health,50.9
E06000037,2,Good health,34.8
E06000037,3,Fair health,10.9
E06000037,4,Bad health,2.7
E06000037,5,Very bad health,0.7
E06000038,-8,Does not apply,0
E06000038,1,Very good health,46.8
E06000038,2,Good health,35.6
E06000038,3,Fair health,12.9
E06000038,4,Bad health,3.7
E06000038,5,Very bad health,1
E06000039,-8,Does not apply,0
E06000039,1,Very good health,44.7
E06000039,2,Good health,35.5
E06000039,3,Fair health,14.3
E06000039,4,Bad health,4.3
E06000039,5,Very bad health,1.2
E06000040,-8,Does not apply,0
E06000040,1,Very good health,55.2
E06000040,2,Good health,32.2
E06000040,3,Fair health,9.5
E06000040,4,Bad health,2.4
E06000040,5,Very bad health,0.7
E06000041,-8,Does not apply,0
E06000041,1,Very good health,53.5
E06000041,2,Good health,34
E06000041,3,Fair health,9.7
E06000041,4,Bad health,2.2
E06000041,5,Very bad health,0.6
E06000042,-8,Does not apply,0
E06000042,1,Very good health,47.4
E06000042,2,Good health,34.8
E06000042,3,Fair health,12.8
E06000042,4,Bad health,3.8
E06000042,5,Very bad health,1.1
E06000043,-8,Does not apply,0
E06000043,1,Very good health,48.7
E06000043,2,Good health,33.1
E06000043,3,Fair health,12.6
E06000043,4,Bad health,4.3
E06000043,5,Very bad health,1.3
E06000044,-8,Does not apply,0
E06000044,1,Very good health,44.4
E06000044,2,Good health,35.5
E06000044,3,Fair health,14.3
E06000044,4,Bad health,4.4
E06000044,5,Very bad health,1.3
E06000045,-8,Does not apply,0
E06000045,1,Very good health,43.9
E06000045,2,Good health,35.9
E06000045,3,Fair health,14.2
E06000045,4,Bad health,4.6
E06000045,5,Very bad health,1.4
E06000046,-8,Does not apply,0
E06000046,1,Very good health,43.8
E06000046,2,Good health,36.1
E06000046,3,Fair health,14.3
E06000046,4,Bad health,4.5
E06000046,5,Very bad health,1.3
E06000047,-8,Does not apply,0
E06000047,1,Very good health,43.7
E06000047,2,Good health,33.9
E06000047,3,Fair health,15.2
E06000047,4,Bad health,5.6
E06000047,5,Very bad health,1.7
E06000049,-8,Does not apply,0
E06000049,1,Very good health,51.3
E06000049,2,Good health,32.9
E06000049,3,Fair health,11.4
E06000049,4,Bad health,3.4
E06000049,5,Very bad health,1
E06000050,-8,Does not apply,0
E06000050,1,Very good health,49.6
E06000050,2,Good health,33.1
E06000050,3,Fair health,12.2
E06000050,4,Bad health,3.9
E06000050,5,Very bad health,1.1
E06000051,-8,Does not apply,0
E06000051,1,Very good health,49.6
E06000051,2,Good health,33.9
E06000051,3,Fair health,12.1
E06000051,4,Bad health,3.5
E06000051,5,Very bad health,1
E06000052,-8,Does not apply,0
E06000052,1,Very good health,48.3
E06000052,2,Good health,32.9
E06000052,3,Fair health,13.2
E06000052,4,Bad health,4.3
E06000052,5,Very bad health,1.3
E06000053,-8,Does not apply,0
E06000053,1,Very good health,56.6
E06000053,2,Good health,31
E06000053,3,Fair health,9.1
E06000053,4,Bad health,2.5
E06000053,5,Very bad health,0.8
E06000054,-8,Does not apply,0
E06000054,1,Very good health,50.5
E06000054,2,Good health,34
E06000054,3,Fair health,11.6
E06000054,4,Bad health,3.2
E06000054,5,Very bad health,0.8
E06000055,-8,Does not apply,0
E06000055,1,Very good health,46.9
E06000055,2,Good health,35.7
E06000055,3,Fair health,12.6
E06000055,4,Bad health,3.7
E06000055,5,Very bad health,1
E06000056,-8,Does not apply,0
E06000056,1,Very good health,49.4
E06000056,2,Good health,34.9
E06000056,3,Fair health,11.7
E06000056,4,Bad health,3.1
E06000056,5,Very bad health,0.9
E06000057,-8,Does not apply,0
E06000057,1,Very good health,46.8
E06000057,2,Good health,33.8
E06000057,3,Fair health,13.9
E06000057,4,Bad health,4.3
E06000057,5,Very bad health,1.2
E06000058,-8,Does not apply,0
E06000058,1,Very good health,48.4
E06000058,2,Good health,34.1
E06000058,3,Fair health,12.6
E06000058,4,Bad health,3.9
E06000058,5,Very bad health,1.1
E06000059,-8,Does not apply,0
E06000059,1,Very good health,49.2
E06000059,2,Good health,34.5
E06000059,3,Fair health,12
E06000059,4,Bad health,3.3
E06000059,5,Very bad health,0.9
E06000060,-8,Does not apply,0
E06000060,1,Very good health,52.5
E06000060,2,Good health,33.7
E06000060,3,Fair health,10.5
E06000060,4,Bad health,2.6
E06000060,5,Very bad health,0.7
E06000061,-8,Does not apply,0
E06000061,1,Very good health,45.1
E06000061,2,Good health,36.2
E06000061,3,Fair health,13.6
E06000061,4,Bad health,4
E06000061,5,Very bad health,1.1
E06000062,-8,Does not apply,0
E06000062,1,Very good health,47.6
E06000062,2,Good health,35.6
E06000062,3,Fair health,12.3
E06000062,4,Bad health,3.5
E06000062,5,Very bad health,0.9
E07000008,-8,Does not apply,0
E07000008,1,Very good health,50.7
E07000008,2,Good health,33.2
E07000008,3,Fair health,11.9
E07000008,4,Bad health,3.3
E07000008,5,Very bad health,1
E07000009,-8,Does not apply,0
E07000009,1,Very good health,48.8
E07000009,2,Good health,35.2
E07000009,3,Fair health,12.1
E07000009,4,Bad health,3.1
E07000009,5,Very bad health,0.8
E07000010,-8,Does not apply,0
E07000010,1,Very good health,41.5
E07000010,2,Good health,37.5
E07000010,3,Fair health,15
E07000010,4,Bad health,4.7
E07000010,5,Very bad health,1.3
E07000011,-8,Does not apply,0
E07000011,1,Very good health,48.1
E07000011,2,Good health,35.7
E07000011,3,Fair health,12
E07000011,4,Bad health,3.3
E07000011,5,Very bad health,0.9
E07000012,-8,Does not apply,0
E07000012,1,Very good health,51.9
E07000012,2,Good health,34
E07000012,3,Fair health,10.7
E07000012,4,Bad health,2.6
E07000012,5,Very bad health,0.8
E07000026,-8,Does not apply,0
E07000026,1,Very good health,47.7
E07000026,2,Good health,33.5
E07000026,3,Fair health,13.5
E07000026,4,Bad health,4.2
E07000026,5,Very bad health,1.2
E07000027,-8,Does not apply,0
E07000027,1,Very good health,44.3
E07000027,2,Good health,34.4
E07000027,3,Fair health,14.4
E07000027,4,Bad health,5.4
E07000027,5,Very bad health,1.5
E07000028,-8,Does not apply,0
E07000028,1,Very good health,46.7
E07000028,2,Good health,34.4
E07000028,3,Fair health,13.4
E07000028,4,Bad health,4.3
E07000028,5,Very bad health,1.2
E07000029,-8,Does not apply,0
E07000029,1,Very good health,46.8
E07000029,2,Good health,32.6
E07000029,3,Fair health,14.3
E07000029,4,Bad health,4.9
E07000029,5,Very bad health,1.4
E07000030,-8,Does not apply,0
E07000030,1,Very good health,51
E07000030,2,Good health,33.8
E07000030,3,Fair health,11.4
E07000030,4,Bad health,3
E07000030,5,Very bad health,0.8
E07000031,-8,Does not apply,0
E07000031,1,Very good health,52.6
E07000031,2,Good health,33.2
E07000031,3,Fair health,10.7
E07000031,4,Bad health,2.8
E07000031,5,Very bad health,0.8
E07000032,-8,Does not apply,0
E07000032,1,Very good health,46.2
E07000032,2,Good health,35
E07000032,3,Fair health,13.6
E07000032,4,Bad health,4.1
E07000032,5,Very bad health,1.1
E07000033,-8,Does not apply,0
E07000033,1,Very good health,42.4
E07000033,2,Good health,34.2
E07000033,3,Fair health,15.8
E07000033,4,Bad health,5.9
E07000033,5,Very bad health,1.7
E07000034,-8,Does not apply,0
E07000034,1,Very good health,42.7
E07000034,2,Good health,34.6
E07000034,3,Fair health,15.8
E07000034,4,Bad health,5.4
E07000034,5,Very bad health,1.5
E07000035,-8,Does not apply,0
E07000035,1,Very good health,52.2
E07000035,2,Good health,32.7
E07000035,3,Fair health,11.3
E07000035,4,Bad health,3
E07000035,5,Very bad health,0.8
E07000036,-8,Does not apply,0
E07000036,1,Very good health,45.1
E07000036,2,Good health,35.2
E07000036,3,Fair health,14.2
E07000036,4,Bad health,4.3
E07000036,5,Very bad health,1.2
E07000037,-8,Does not apply,0
E07000037,1,Very good health,49.2
E07000037,2,Good health,33.6
E07000037,3,Fair health,12.5
E07000037,4,Bad health,3.6
E07000037,5,Very bad health,1
E07000038,-8,Does not apply,0
E07000038,1,Very good health,46.3
E07000038,2,Good health,33.8
E07000038,3,Fair health,14.1
E07000038,4,Bad health,4.6
E07000038,5,Very bad health,1.3
E07000039,-8,Does not apply,0
E07000039,1,Very good health,47.6
E07000039,2,Good health,34.7
E07000039,3,Fair health,13
E07000039,4,Bad health,3.7
E07000039,5,Very bad health,1
E07000040,-8,Does not apply,0
E07000040,1,Very good health,50.9
E07000040,2,Good health,33.8
E07000040,3,Fair health,11.3
E07000040,4,Bad health,3.2
E07000040,5,Very bad health,0.8
E07000041,-8,Does not apply,0
E07000041,1,Very good health,48.8
E07000041,2,Good health,33.5
E07000041,3,Fair health,12.6
E07000041,4,Bad health,4
E07000041,5,Very bad health,1.2
E07000042,-8,Does not apply,0
E07000042,1,Very good health,48.9
E07000042,2,Good health,34.5
E07000042,3,Fair health,12.2
E07000042,4,Bad health,3.4
E07000042,5,Very bad health,1
E07000043,-8,Does not apply,0
E07000043,1,Very good health,49.7
E07000043,2,Good health,33
E07000043,3,Fair health,12.4
E07000043,4,Bad health,3.9
E07000043,5,Very bad health,1.1
E07000044,-8,Does not apply,0
E07000044,1,Very good health,53.4
E07000044,2,Good health,31.5
E07000044,3,Fair health,10.8
E07000044,4,Bad health,3.3
E07000044,5,Very bad health,1
E07000045,-8,Does not apply,0
E07000045,1,Very good health,49.1
E07000045,2,Good health,33.9
E07000045,3,Fair health,12.3
E07000045,4,Bad health,3.7
E07000045,5,Very bad health,1
E07000046,-8,Does not apply,0
E07000046,1,Very good health,48
E07000046,2,Good health,33.7
E07000046,3,Fair health,13.2
E07000046,4,Bad health,4.1
E07000046,5,Very bad health,1.1
E07000047,-8,Does not apply,0
E07000047,1,Very good health,49.6
E07000047,2,Good health,33.4
E07000047,3,Fair health,12.4
E07000047,4,Bad health,3.6
E07000047,5,Very bad health,1
E07000061,-8,Does not apply,0
E07000061,1,Very good health,45
E07000061,2,Good health,35.2
E07000061,3,Fair health,14
E07000061,4,Bad health,4.5
E07000061,5,Very bad health,1.3
E07000062,-8,Does not apply,0
E07000062,1,Very good health,42.5
E07000062,2,Good health,35.1
E07000062,3,Fair health,15.3
E07000062,4,Bad health,5.4
E07000062,5,Very bad health,1.7
E07000063,-8,Does not apply,0
E07000063,1,Very good health,48.4
E07000063,2,Good health,34.2
E07000063,3,Fair health,12.6
E07000063,4,Bad health,3.8
E07000063,5,Very bad health,1
E07000064,-8,Does not apply,0
E07000064,1,Very good health,47.6
E07000064,2,Good health,34.7
E07000064,3,Fair health,12.8
E07000064,4,Bad health,3.8
E07000064,5,Very bad health,1
E07000065,-8,Does not apply,0
E07000065,1,Very good health,51.4
E07000065,2,Good health,33.8
E07000065,3,Fair health,11
E07000065,4,Bad health,3
E07000065,5,Very bad health,0.8
E07000066,-8,Does not apply,0
E07000066,1,Very good health,46.5
E07000066,2,Good health,35
E07000066,3,Fair health,13.1
E07000066,4,Bad health,4.1
E07000066,5,Very bad health,1.3
E07000067,-8,Does not apply,0
E07000067,1,Very good health,47.4
E07000067,2,Good health,35.7
E07000067,3,Fair health,12.5
E07000067,4,Bad health,3.4
E07000067,5,Very bad health,0.9
E07000068,-8,Does not apply,0
E07000068,1,Very good health,54.3
E07000068,2,Good health,31.9
E07000068,3,Fair health,10.2
E07000068,4,Bad health,2.8
E07000068,5,Very bad health,0.9
E07000069,-8,Does not apply,0
E07000069,1,Very good health,48.1
E07000069,2,Good health,34.7
E07000069,3,Fair health,12.4
E07000069,4,Bad health,3.8
E07000069,5,Very bad health,1.1
E07000070,-8,Does not apply,0
E07000070,1,Very good health,51.2
E07000070,2,Good health,34.1
E07000070,3,Fair health,11.1
E07000070,4,Bad health,2.8
E07000070,5,Very bad health,0.8
E07000071,-8,Does not apply,0
E07000071,1,Very good health,47.7
E07000071,2,Good health,35.5
E07000071,3,Fair health,12.4
E07000071,4,Bad health,3.4
E07000071,5,Very bad health,1
E07000072,-8,Does not apply,0
E07000072,1,Very good health,51.8
E07000072,2,Good health,33
E07000072,3,Fair health,11.1
E07000072,4,Bad health,3.1
E07000072,5,Very bad health,1
E07000073,-8,Does not apply,0
E07000073,1,Very good health,44.3
E07000073,2,Good health,35.5
E07000073,3,Fair health,14.4
E07000073,4,Bad health,4.5
E07000073,5,Very bad health,1.3
E07000074,-8,Does not apply,0
E07000074,1,Very good health,49.3
E07000074,2,Good health,34.6
E07000074,3,Fair health,11.8
E07000074,4,Bad health,3.3
E07000074,5,Very bad health,0.9
E07000075,-8,Does not apply,0
E07000075,1,Very good health,50.7
E07000075,2,Good health,34.1
E07000075,3,Fair health,11.3
E07000075,4,Bad health,3
E07000075,5,Very bad health,0.8
E07000076,-8,Does not apply,0
E07000076,1,Very good health,43.5
E07000076,2,Good health,35.2
E07000076,3,Fair health,14.7
E07000076,4,Bad health,5.1
E07000076,5,Very bad health,1.5
E07000077,-8,Does not apply,0
E07000077,1,Very good health,54.1
E07000077,2,Good health,32.9
E07000077,3,Fair health,9.9
E07000077,4,Bad health,2.4
E07000077,5,Very bad health,0.7
E07000078,-8,Does not apply,0
E07000078,1,Very good health,50.6
E07000078,2,Good health,33.8
E07000078,3,Fair health,11.6
E07000078,4,Bad health,3.1
E07000078,5,Very bad health,0.9
E07000079,-8,Does not apply,0
E07000079,1,Very good health,53.6
E07000079,2,Good health,33
E07000079,3,Fair health,10.2
E07000079,4,Bad health,2.6
E07000079,5,Very bad health,0.7
E07000080,-8,Does not apply,0
E07000080,1,Very good health,47.2
E07000080,2,Good health,35
E07000080,3,Fair health,12.8
E07000080,4,Bad health,3.8
E07000080,5,Very bad health,1.1
E07000081,-8,Does not apply,0
E07000081,1,Very good health,44.9
E07000081,2,Good health,35.9
E07000081,3,Fair health,13.8
E07000081,4,Bad health,4.2
E07000081,5,Very bad health,1.1
E07000082,-8,Does not apply,0
E07000082,1,Very good health,50.4
E07000082,2,Good health,34.2
E07000082,3,Fair health,11.6
E07000082,4,Bad health,3
E07000082,5,Very bad health,0.8
E07000083,-8,Does not apply,0
E07000083,1,Very good health,50.6
E07000083,2,Good health,34.2
E07000083,3,Fair health,11.4
E07000083,4,Bad health,2.9
E07000083,5,Very bad health,0.8
E07000084,-8,Does not apply,0
E07000084,1,Very good health,49
E07000084,2,Good health,35.4
E07000084,3,Fair health,11.7
E07000084,4,Bad health,3.1
E07000084,5,Very bad health,0.8
E07000085,-8,Does not apply,0
E07000085,1,Very good health,52.3
E07000085,2,Good health,33.9
E07000085,3,Fair health,10.5
E07000085,4,Bad health,2.6
E07000085,5,Very bad health,0.6
E07000086,-8,Does not apply,0
E07000086,1,Very good health,49.4
E07000086,2,Good health,35.1
E07000086,3,Fair health,11.7
E07000086,4,Bad health,3
E07000086,5,Very bad health,0.8
E07000087,-8,Does not apply,0
E07000087,1,Very good health,50.8
E07000087,2,Good health,34.7
E07000087,3,Fair health,11
E07000087,4,Bad health,2.8
E07000087,5,Very bad health,0.7
E07000088,-8,Does not apply,0
E07000088,1,Very good health,43.8
E07000088,2,Good health,36.5
E07000088,3,Fair health,14.4
E07000088,4,Bad health,4.2
E07000088,5,Very bad health,1
E07000089,-8,Does not apply,0
E07000089,1,Very good health,54.8
E07000089,2,Good health,33.1
E07000089,3,Fair health,9.3
E07000089,4,Bad health,2.2
E07000089,5,Very bad health,0.6
E07000090,-8,Does not apply,0
E07000090,1,Very good health,46.1
E07000090,2,Good health,35.4
E07000090,3,Fair health,13.4
E07000090,4,Bad health,4
E07000090,5,Very bad health,1.1
E07000091,-8,Does not apply,0
E07000091,1,Very good health,50.5
E07000091,2,Good health,34.3
E07000091,3,Fair health,11.3
E07000091,4,Bad health,3
E07000091,5,Very bad health,0.8
E07000092,-8,Does not apply,0
E07000092,1,Very good health,47.1
E07000092,2,Good health,35.5
E07000092,3,Fair health,13.1
E07000092,4,Bad health,3.4
E07000092,5,Very bad health,0.9
E07000093,-8,Does not apply,0
E07000093,1,Very good health,51
E07000093,2,Good health,34.3
E07000093,3,Fair health,11
E07000093,4,Bad health,2.9
E07000093,5,Very bad health,0.8
E07000094,-8,Does not apply,0
E07000094,1,Very good health,53.6
E07000094,2,Good health,33.1
E07000094,3,Fair health,10
E07000094,4,Bad health,2.6
E07000094,5,Very bad health,0.7
E07000095,-8,Does not apply,0
E07000095,1,Very good health,48.7
E07000095,2,Good health,34.4
E07000095,3,Fair health,12.3
E07000095,4,Bad health,3.5
E07000095,5,Very bad health,1
E07000096,-8,Does not apply,0
E07000096,1,Very good health,50.7
E07000096,2,Good health,33.8
E07000096,3,Fair health,11.5
E07000096,4,Bad health,3.2
E07000096,5,Very bad health,0.8
E07000098,-8,Does not apply,0
E07000098,1,Very good health,52.3
E07000098,2,Good health,32.6
E07000098,3,Fair health,11.1
E07000098,4,Bad health,3.1
E07000098,5,Very bad health,0.9
E07000099,-8,Does not apply,0
E07000099,1,Very good health,50.3
E07000099,2,Good health,34.4
E07000099,3,Fair health,11.5
E07000099,4,Bad health,3
E07000099,5,Very bad health,0.8
E07000102,-8,Does not apply,0
E07000102,1,Very good health,52.8
E07000102,2,Good health,32.9
E07000102,3,Fair health,10.7
E07000102,4,Bad health,2.8
E07000102,5,Very bad health,0.8
E07000103,-8,Does not apply,0
E07000103,1,Very good health,48.2
E07000103,2,Good health,34.7
E07000103,3,Fair health,12.4
E07000103,4,Bad health,3.6
E07000103,5,Very bad health,1
E07000105,-8,Does not apply,0
E07000105,1,Very good health,47.8
E07000105,2,Good health,35
E07000105,3,Fair health,12.6
E07000105,4,Bad health,3.6
E07000105,5,Very bad health,1
E07000106,-8,Does not apply,0
E07000106,1,Very good health,47.5
E07000106,2,Good health,34.7
E07000106,3,Fair health,12.8
E07000106,4,Bad health,3.9
E07000106,5,Very bad health,1.1
E07000107,-8,Does not apply,0
E07000107,1,Very good health,48.4
E07000107,2,Good health,34.5
E07000107,3,Fair health,12.6
E07000107,4,Bad health,3.5
E07000107,5,Very bad health,1
E07000108,-8,Does not apply,0
E07000108,1,Very good health,45.8
E07000108,2,Good health,34.9
E07000108,3,Fair health,13.6
E07000108,4,Bad health,4.5
E07000108,5,Very bad health,1.3
E07000109,-8,Does not apply,0
E07000109,1,Very good health,46.7
E07000109,2,Good health,34.9
E07000109,3,Fair health,13.2
E07000109,4,Bad health,4.1
E07000109,5,Very bad health,1.1
E07000110,-8,Does not apply,0
E07000110,1,Very good health,49.2
E07000110,2,Good health,34.4
E07000110,3,Fair health,12.1
E07000110,4,Bad health,3.4
E07000110,5,Very bad health,1
E07000111,-8,Does not apply,0
E07000111,1,Very good health,53.1
E07000111,2,Good health,32.5
E07000111,3,Fair health,10.7
E07000111,4,Bad health,2.9
E07000111,5,Very bad health,0.9
E07000112,-8,Does not apply,0
E07000112,1,Very good health,45.6
E07000112,2,Good health,34.6
E07000112,3,Fair health,14
E07000112,4,Bad health,4.6
E07000112,5,Very bad health,1.3
E07000113,-8,Does not apply,0
E07000113,1,Very good health,44.6
E07000113,2,Good health,35.2
E07000113,3,Fair health,14.4
E07000113,4,Bad health,4.5
E07000113,5,Very bad health,1.3
E07000114,-8,Does not apply,0
E07000114,1,Very good health,43.2
E07000114,2,Good health,35.2
E07000114,3,Fair health,14.9
E07000114,4,Bad health,5.2
E07000114,5,Very bad health,1.6
E07000115,-8,Does not apply,0
E07000115,1,Very good health,50.7
E07000115,2,Good health,33.9
E07000115,3,Fair health,11.4
E07000115,4,Bad health,3.2
E07000115,5,Very bad health,0.9
E07000116,-8,Does not apply,0
E07000116,1,Very good health,52.4
E07000116,2,Good health,33
E07000116,3,Fair health,10.9
E07000116,4,Bad health,2.9
E07000116,5,Very bad health,0.8
E07000117,-8,Does not apply,0
E07000117,1,Very good health,43.2
E07000117,2,Good health,34
E07000117,3,Fair health,15.4
E07000117,4,Bad health,5.7
E07000117,5,Very bad health,1.7
E07000118,-8,Does not apply,0
E07000118,1,Very good health,49.2
E07000118,2,Good health,33.1
E07000118,3,Fair health,12.7
E07000118,4,Bad health,3.9
E07000118,5,Very bad health,1.1
E07000119,-8,Does not apply,0
E07000119,1,Very good health,50.4
E07000119,2,Good health,32.4
E07000119,3,Fair health,12.3
E07000119,4,Bad health,3.8
E07000119,5,Very bad health,1.1
E07000120,-8,Does not apply,0
E07000120,1,Very good health,42.3
E07000120,2,Good health,34.9
E07000120,3,Fair health,15.4
E07000120,4,Bad health,5.6
E07000120,5,Very bad health,1.7
E07000121,-8,Does not apply,0
E07000121,1,Very good health,46.4
E07000121,2,Good health,34.4
E07000121,3,Fair health,13.6
E07000121,4,Bad health,4.4
E07000121,5,Very bad health,1.3
E07000122,-8,Does not apply,0
E07000122,1,Very good health,44.7
E07000122,2,Good health,34.5
E07000122,3,Fair health,14.6
E07000122,4,Bad health,4.8
E07000122,5,Very bad health,1.4
E07000123,-8,Does not apply,0
E07000123,1,Very good health,45.1
E07000123,2,Good health,34
E07000123,3,Fair health,14.5
E07000123,4,Bad health,5
E07000123,5,Very bad health,1.5
E07000124,-8,Does not apply,0
E07000124,1,Very good health,55.4
E07000124,2,Good health,31
E07000124,3,Fair health,10.3
E07000124,4,Bad health,2.7
E07000124,5,Very bad health,0.7
E07000125,-8,Does not apply,0
E07000125,1,Very good health,46.6
E07000125,2,Good health,33.4
E07000125,3,Fair health,13.8
E07000125,4,Bad health,4.9
